webapp.ChannelListTable.values|Valeurs
webapp.ChannelListTable.statistics|Statistiques
webapp.ChannelListTable.minimum|Minimum
webapp.ChannelListTable.maximum|Maximum
webapp.ChannelListTable.average|Moyenne
webapp.ChannelListTable.deviation|Ecart type
webapp.ChannelListTable.mkt|MKT
webapp.SlaveAbstract.comments|Commentaire
webapp.SlaveAbstract.device|Appareil
webapp.SlaveAbstract.configuration|Configuration
webapp.SlaveAbstract.channels|Voies
webapp.SlaveAbstract.reference|Appareil
webapp.SlaveAbstract.designation|Désignation
webapp.SlaveAbstract.serial|N° de série
webapp.SlaveAbstract.version|Version
webapp.SlaveAbstract.campaign|Campagne
webapp.SlaveAbstract.logType|Type d'enregistrement
webapp.SlaveAbstract.logType_0|Différé
webapp.SlaveAbstract.logType_1|Instant
webapp.SlaveAbstract.logType_2|Minimum
webapp.SlaveAbstract.logType_3|Maximum
webapp.SlaveAbstract.logType_4|Moyenne
webapp.SlaveAbstract.logType_5|Surveillance
webapp.SlaveAbstract.logType_6|EnLigne
webapp.SlaveAbstract.logType_7|Fin
webapp.SlaveAbstract.logType_8|Thermometre
webapp.SlaveAbstract.logType_9|Thermohygrometre
webapp.SlaveAbstract.logType_10|Detection d'impulsions
webapp.SlaveAbstract.recordDelay|Intervalle d'enregistrement
webapp.SlaveAbstract.measureInterval|Intervalle de mesure
webapp.SlaveAbstract.startDate|Date de départ
webapp.SlaveAbstract.endDate|Date de fin
webapp.SlaveAbstract.probeType|Type de sonde
webapp.SlaveAbstract.alarmState|Etat de la voie
webapp.SlaveAbstract.alarmState_0|Normal
webapp.SlaveAbstract.alarmState_1|Active
webapp.SlaveAbstract.alarmState_2|Pas d'alarmes configurées
webapp.SlaveAbstract.highThreshold|Seuil haut
webapp.SlaveAbstract.lowThreshold|Seuil bas
webapp.SlaveAbstract.minute|min.
webapp.SlaveAbstract.noAlarmState|Pas d'alarmes configurées
webapp.SlaveAbstract.waitForConfigurationValidation|Configuration en attente de validation
webapp.AlarmList.alarms|Alarmes
webapp.AlarmList.sameComment|Appliquer le même commentaire à toutes les alarmes
webapp.AlarmList.slaveDesignation|Désignation de l'appareil
webapp.AlarmList.channelDesignation|Désignation de la voie
webapp.AlarmList.value|Valeur
webapp.AlarmList.mode|Etat
webapp.AlarmList.filterUnacked|Alarmes non acquittées
webapp.AlarmList.filterAcked|Alarmes acquittées
webapp.AlarmList.filterNone|Toutes les alarmes
webapp.AlarmList.ack|Acquitter
webapp.AlarmList.ackPending|Acquittement en cours...
webapp.AlarmList.modalTitle|Commentaire (facultatif)
webapp.AlarmList.modalSubtitle|Laissez un message avant d'acquitter l'alarme
webapp.AlarmList.oneAckAlarm|Veuillez sélectionner au moins une alarme à acquitter
webapp.DateFilterList.LATEST|Dernières données
webapp.DateFilterList.TODAY|Aujourd'hui
webapp.DateFilterList.YESTERDAY|Depuis Hier
webapp.DateFilterList.WEEK|7 derniers jours
webapp.DateFilterList.MONTH|30 derniers jours
webapp.DateFilterList.INTERVAL|Entre deux dates
webapp.DateFilterList.UNACKED|Alarmes non acquittées
webapp.DateFilterList.ACKED|Alarmes acquittées
webapp.DateFilterList.ALL|Toutes les alarmes
webapp.UnloadList.unload|Décharger
webapp.UnloadList.unloadTitle|Déchargement
webapp.UnloadList.unloadSubtitle|Sélectionner les appareils à décharger
webapp.UnloadList.modalTitle|Déchargement en cours
webapp.UnloadList.modalSubtitle1|Cette opération peut durer quelques minutes.
webapp.UnloadList.modalSubtitle2|Vous pouvez continuer à utiliser l'application pendant la mise à jour des données
webapp.UnloadList.oneUnload|Veuillez sélectionner au moins un appareil
webapp.LogEventList.events|Journal des évènements
webapp.LogEventList.user|Utilisateur
webapp.LogEventList.source|Source
webapp.LogEventList.category|Catégorie
webapp.LogEventList.description|Description
webapp.LogEventList.comment|Commentaire
webapp.ReportingPage.title|Exportation des données
webapp.ReportingPage.fileType|Type de fichier
webapp.ReportingPage.fileTypePDF|PDF
webapp.ReportingPage.fileTypeCSV|CSV
webapp.ReportingPage.pdfOption|Options PDF
webapp.ReportingPage.pdfOptionCharts|Inclure les graphiques
webapp.ReportingPage.pdfOptionPreview|Prévisualiser le fichier
webapp.ReportingPage.more|Données à intégrer au rapport
webapp.ReportingPage.moreTable|Tableaux de valeurs
webapp.ReportingPage.moreSettings|Configuration des appareils
webapp.ReportingPage.moreStats|Tableaux de statistiques
webapp.ReportingPage.moreAlarm|Journal des alarmes
webapp.ReportingPage.moreLogevents|Journal des événements
webapp.ReportingPage.export|Exporter
webapp.ReportingPage.period|Période à exporter
webapp.ReportingPage.next|Suivant >
webapp.ReportingPage.previous|< Précédent
webapp.ChannelItem.channel|Voie
webapp.ChannelItem.channelInternal|interne
webapp.ModalMessage.httpForbiddenTitle|Accès refusé
webapp.ModalMessage.httpForbiddenBody|Vous ne disposez pas des autorisations nécessaires pour accéder à cette fonctionnalité. Veuillez contacter votre administrateur.
webapp.Tooltip.DEVICE_DISCONNECTED|Le Logiciel CTS-RF ne semble pas connecté au CLOUD
webapp.Tooltip.WS_SITE_UNLOAD_SLAVE_START|Déchargement en cours...
